,orig_index,tweet,tweet_text,clean_tweet
19,876,"RT @THR: After the NBA suspended the remainder of the season due to the #coronavirus outbreak, the NHL was still evaluating its response ht…","After the NBA suspended the remainder of the season due to the #coronavirus outbreak, the NHL was still evaluating its response ht",After the NBA suspend the remainder of the season due to the coronavirus outbreak the NHL be still evaluate it response ht
22,1104,RT @CTVNews: Air Canada suspends all direct flights to China as coronavirus spreads https://t.co/OnidcBGIlj https://t.co/IEfQaSBxGZ,Air Canada suspends all direct flights to China as coronavirus spreads  ,Air Canada suspends all direct flight to China a coronavirus spread
23,893,RT @CBCAlerts: Air Canada suspends flights to and from Italy due to  'ongoing health and safety concerns' related to coronavirus outbreak.…,Air Canada suspends flights to and from Italy due to  'ongoing health and safety concerns' related to coronavirus outbreak,Air Canada suspends flight to and from Italy due to health and safety concern related to coronavirus outbreak
24,1025,"RT @TomTSEC: All schools, colleges and nurseries in Ireland will be closed until March 29 due to #coronavirus  outbreak.

Opppssss, problem…","All schools, colleges and nurseries in Ireland will be closed until March 29 due to #coronavirus  outbreak.

Opppssss, problem",All school college and nursery in Ireland will be close until March 29 due to coronavirus outbreak Opppssss problem
26,803,"RT @kr3at: America's busiest port, the Port of Los Angeles, is projecting  volume drop of at least a 25% this month due to the #CoronaVirus…","America's busiest port, the Port of Los Angeles, is projecting  volume drop of at least a 25% this month due to the #CoronaVirus",America is busiest port the Port of Los Angeles be project volume drop of at least 25 this month due to the CoronaVirus
27,1085,RT @globeandmail: Americans evacuated from Wuhan evaluated at military base for signs of coronavirus https://t.co/DpsKgBMDGz https://t.co/8…,Americans evacuated from Wuhan evaluated at military base for signs of coronavirus  ,Americans evacuate from Wuhan evaluate at military base for sign of coronavirus
28,1035,"RT @SenSchumer: Americans need clear guidance from the federal government on coronavirus

It’s been reported health officials recommended o…","Americans need clear guidance from the federal government on coronavirus

It’s been reported health officials recommended o",Americans need clear guidance from the federal government on coronavirus It be report health official recommend
30,588,RT @CNBC: Amtrak suspends nonstop Acela service between DC and New York due to coronavirus https://t.co/KqHw25K2wm,Amtrak suspends nonstop Acela service between DC and New York due to coronavirus ,Amtrak suspends nonstop Acela service between DC and New York due to coronavirus
31,736,"RT @simoninmadrid: An 82-year-old man infected with the coronavirus died in the Basque Country on Wednesday, becoming Spain’s second offici…","An 82-year-old man infected with the coronavirus died in the Basque Country on Wednesday, becoming Spain’s second offici",An 82yearold man infect with the coronavirus die in the Basque Country on Wednesday become Spain second offici
34,566,RT @scottdeveau: An employee at Brookfield Asset Management Inc. U.S. headquarters in New York has tested positive for the coronavirus. Sto…,An employee at Brookfield Asset Management Inc. U.S. headquarters in New York has tested positive for the coronavirus. Sto,An employee at Brookfield Asset Management headquarters in New York have test positive for the coronavirus Sto
35,298,"RT @AzharAliLeghari: An excellent speech by Singapore’s Health Minister Mr. Gan Kim Yong. 

An excellent way of describing #coronavirus #Co…","An excellent speech by Singapore’s Health Minister Mr. Gan Kim Yong. 

An excellent way of describing #coronavirus #Co",An excellent speech by Singapore Health Minister Gan Kim Yong An excellent way of describe coronavirus Co
36,53,"RT @janisfrayer: An incredible outpouring in #China for Dr. Li Wenliang, the brave doctor who had warned of a strange #coronavirus in #Wuha…","An incredible outpouring in #China for Dr. Li Wenliang, the brave doctor who had warned of a strange #coronavirus in #Wuha",An incredible outpouring in China for Li Wenliang the brave doctor who have warn of strange coronavirus in Wuha
38,47,"RT @nytimes: An online outpouring of anger and grief followed the death of Li Wenliang, the doctor who warned about the coronavirus that ha…","An online outpouring of anger and grief followed the death of Li Wenliang, the doctor who warned about the coronavirus that ha",An online outpouring of anger and grief follow the death of Li Wenliang the doctor who warn about the coronavirus that ha
39,426,And now back to bad news - #Coronavirus to have 'substantial' impact on trade: WTO #trade #cdnecon #WTO  https://t.co/rtwT9KuYSr,And now back to bad news - #Coronavirus to have 'substantial' impact on trade: WTO #trade #cdnecon #WTO  ,And now back to bad news Coronavirus to have impact on trade WTO trade cdnecon WTO
41,862,RT @hopihoekstra: Another Boston school moves online:  MIT moving to online classes; university reports visitor with coronavirus - The Bost…,Another Boston school moves online:  MIT moving to online classes; university reports visitor with coronavirus - The Bost,Another Boston school move online MIT move to online class university report visitor with coronavirus The Bost
42,768,"RT @WSJ: Another Princess cruise ship is embroiled in an outbreak of coronavirus—this time the Grand Princess, which was en route to Hawaii…","Another Princess cruise ship is embroiled in an outbreak of coronavirus—this time the Grand Princess, which was en route to Hawaii",Another Princess cruise ship be embroil in an outbreak of time the Grand Princess which be en route to Hawaii
43,64,"RT @fjeronimo: Another withdraw from #MWC20 

Sony withdraws from #MWC2020 over coronavirus concerns https://t.co/fZay48huqC","Another withdraw from #MWC20 

Sony withdraws from #MWC2020 over coronavirus concerns ",Another withdraw from MWC20 Sony withdraws from MWC2020 over coronavirus concern
45,1055,Any aspiring Afro-Futurist writers could take some inspiration from the John Hopkins worldwide #COVID19 map and get started on that post-apocalyptic sci-fi. https://t.co/fkbJPYeuKb,Any aspiring Afro-Futurist writers could take some inspiration from the John Hopkins worldwide #COVID19 map and get started on that post-apocalyptic sci-fi. ,Any aspire AfroFuturist writer could take some inspiration from the John Hopkins worldwide COVID19 map and get start on that postapocalyptic scifi
46,826,RT @ottawasuncom: Archdiocese of Ottawa taking steps to help prevent the spread of coronavirus https://t.co/K9vZTlA1Gd https://t.co/GEG5vgB…,Archdiocese of Ottawa taking steps to help prevent the spread of coronavirus  ,Archdiocese of Ottawa take step to help prevent the spread of coronavirus
47,119,RT @TheCurrentCBC: Are fears about coronavirus fuelling xenophobia and stigma? Thousands signed a petition calling on school boards north o…,Are fears about coronavirus fuelling xenophobia and stigma? Thousands signed a petition calling on school boards north o,Are fear about coronavirus fuel xenophobia and stigma Thousands sign petition call on school board north
48,993,"RT @ExportDevCanada: Are travel restrictions due to the #coronavirus placing a strain on your company? 

Find out how you can minimize the…","Are travel restrictions due to the #coronavirus placing a strain on your company? 

Find out how you can minimize the",Are travel restriction due to the coronavirus place strain on your company Find out how you can minimize the
49,394,Are you in self-isolation or quarantine due to the coronavirus? We want to hear from you https://t.co/RZLr5zu2Xy via @torontostar,Are you in self-isolation or quarantine due to the coronavirus? We want to hear from you  via @torontostar,Are you in selfisolation or quarantine due to the coronavirus We want to hear from you via torontostar
50,790,"RT @Dave_McGinn: Are you wondering if you should travel on March Break, or have decided not to travel, because of the coronavirus? I'm aski…","Are you wondering if you should travel on March Break, or have decided not to travel, because of the coronavirus? I'm aski",Are you wonder if you should travel on March Break or have decide not to travel because of the coronavirus be aski
54,607,"RT @YahooCanadaNews: As Canada continues to control the coronavirus outbreak, Public Health has updated its list of seven destinations wher…","As Canada continues to control the coronavirus outbreak, Public Health has updated its list of seven destinations wher",As Canada continue to control the coronavirus outbreak Public Health have update it list of seven destination wher
57,564,"RT @psac_afpc: As countries around the world scramble to control the deadly #coronavirus outbreak, some analysts say Europe's social progra…","As countries around the world scramble to control the deadly #coronavirus outbreak, some analysts say Europe's social progra",As country around the world scramble to control the deadly coronavirus outbreak some analyst say Europe is social progra
59,209,"RT @nytimes: As millions in China are barricaded in their homes during the coronavirus outbreak, delivery drivers have been keeping fresh f…","As millions in China are barricaded in their homes during the coronavirus outbreak, delivery drivers have been keeping fresh f",As million in China be barricade in their home during the coronavirus outbreak delivery driver have be keep fresh
60,122,"RT @AFP: At least 10 passengers on a cruise ship that Japan quarantined tested positive for the new coronavirus, the Japanese health minist…","At least 10 passengers on a cruise ship that Japan quarantined tested positive for the new coronavirus, the Japanese health minist",At least 10 passenger on cruise ship that Japan quarantine test positive for the new coronavirus the Japanese health minist
62,182,RT @BizCouncilofCan: At this critical time when Canada faces serious economic headwinds from rail blockades to the impacts from coronavirus…,At this critical time when Canada faces serious economic headwinds from rail blockades to the impacts from coronavirus,At this critical time when Canada face serious economic headwind from rail blockade to the impact from coronavirus
65,1245,"RT @680NEWS: Australia is the latest country to report a confirmed case of coronavirus. Cases worldwide now just shy of 1300, the death tol…","Australia is the latest country to report a confirmed case of coronavirus. Cases worldwide now just shy of 1300, the death tol",Australia be the late country to report confirm case of coronavirus Cases worldwide now just shy of 1300 the death tol
67,1080,"RT @locsei: BREAKING

1st case of deadly coronavirus in Toronto

Public health officials announce first diagnosed case at Toronto’s Sunnybr…","BREAKING

1st case of deadly coronavirus in Toronto

Public health officials announce first diagnosed case at Toronto’s Sunnybr",BREAKING 1st case of deadly coronavirus in Toronto Public health official announce first diagnose case at Toronto Sunnybr
68,793,"RT @ByMikeBaker: BREAKING: A 7th person with coronavirus has died in the Seattle area. This time, the infection wasn’t identified until wel…","BREAKING: A 7th person with coronavirus has died in the Seattle area. This time, the infection wasn’t identified until wel",BREAKING 7th person with coronavirus have die in the Seattle area This time the infection wasn identify until wel
69,493,RT @kieranleavitt: BREAKING: Alberta has its first “presumptive” case of coronavirus. The chief medical officer is holding a press conferen…,BREAKING: Alberta has its first “presumptive” case of coronavirus. The chief medical officer is holding a press conferen,BREAKING Alberta have it first presumptive case of coronavirus The chief medical officer be hold press conferen
70,1040,"RT @680NEWS: #BREAKING: All publicly-funded schools in Ontario will be closed for 2 weeks following March break, in response to coronavirus…","#BREAKING: All publicly-funded schools in Ontario will be closed for 2 weeks following March break, in response to coronavirus",BREAKING All publiclyfunded school in Ontario will be close for week follow March break in response to coronavirus
71,497,"RT @Sportsnet: BREAKING: Amid growing concerns over the threat coronavirus poses, the IIHF has announced the cancellation of the 2020 Women…","BREAKING: Amid growing concerns over the threat coronavirus poses, the IIHF has announced the cancellation of the 2020 Women",BREAKING Amid grow concern over the threat coronavirus pose the IIHF have announce the cancellation of the 2020 Women
72,238,"RT @BNODesk: BREAKING: Brazil confirms South America's first case of coronavirus - Reuters, citing sources https://t.co/eUoE2b20hL","BREAKING: Brazil confirms South America's first case of coronavirus - Reuters, citing sources ",BREAKING Brazil confirms South America is first case of coronavirus Reuters cite source
73,90,"RT @globalnews: #BREAKING: British Columbia has identified two additional cases of novel coronavirus, bringing the total number in the prov…","#BREAKING: British Columbia has identified two additional cases of novel coronavirus, bringing the total number in the prov",BREAKING British Columbia have identify two additional case of novel coronavirus bring the total number in the prov
74,1166,RT @thehill: #BREAKING: China confirms 769 new coronavirus cases in one day https://t.co/nMT71xgfpu https://t.co/Um8eCWGMap,#BREAKING: China confirms 769 new coronavirus cases in one day  ,BREAKING China confirms 769 new coronavirus case in one day
75,1117,RT @680NEWS: #BREAKING: China's National Health Commission said Friday morning the confirmed cases of the new coronavirus had risen to 830…,#BREAKING: China's National Health Commission said Friday morning the confirmed cases of the new coronavirus had risen to 830,BREAKING China is National Health Commission say Friday morning the confirm case of the new coronavirus have risen to 830
76,1181,RT @CityNews: #BREAKING: China's National Health Commission said Friday morning the confirmed cases of the new coronavirus had risen to 830…,#BREAKING: China's National Health Commission said Friday morning the confirmed cases of the new coronavirus had risen to 830,BREAKING China is National Health Commission say Friday morning the confirm case of the new coronavirus have risen to 830
77,1099,"RT @NatashaFatah: #BREAKING China says 41 people have died from the Coronavirus, and more 1000 have become infected in that country. 

That…","#BREAKING China says 41 people have died from the Coronavirus, and more 1000 have become infected in that country. 

That",BREAKING China say 41 people have die from the Coronavirus and more 1000 have become infect in that country That
80,1198,"RT @Breaking911: BREAKING: Coronavirus cases rise to more than 830 in China, death toll from outbreak hits 25 - CNBC","BREAKING: Coronavirus cases rise to more than 830 in China, death toll from outbreak hits 25 - CNBC",BREAKING Coronavirus case rise to more than 830 in China death toll from outbreak hit 25 CNBC
81,300,RT @yaneerbaryam: BREAKING: Coronavirus update has some positives with decrease in new cases in South Korea and constant for two days in It…,BREAKING: Coronavirus update has some positives with decrease in new cases in South Korea and constant for two days in It,BREAKING Coronavirus update have some positive with decrease in new case in South Korea and constant for two day in It
82,1089,"RT @l_stone: #BREAKING: Dr. David Williams, Ontario chief medical officer of health, confirms third case of #coronavirus in Ontario - woman…","#BREAKING: Dr. David Williams, Ontario chief medical officer of health, confirms third case of #coronavirus in Ontario - woman",BREAKING David Williams Ontario chief medical officer of health confirms third case of coronavirus in Ontario woman
83,1146,"RT @business: BREAKING: 
-Death toll from China's coronavirus jumps to 106 
-Confirmed cases in China soar to 4,515
-100 fatalities are in…","BREAKING: 
-Death toll from China's coronavirus jumps to 106 
-Confirmed cases in China soar to 4,515
-100 fatalities are in",BREAKING Death toll from China is coronavirus jump to 106 Confirmed case in China soar to 100 fatality be in
86,711,"RT @globalnews: #BREAKING: Four new cases of the novel coronavirus have been confirmed in Ontario, bringing the number of Canadian diagnose…","#BREAKING: Four new cases of the novel coronavirus have been confirmed in Ontario, bringing the number of Canadian diagnose",BREAKING Four new case of the novel coronavirus have be confirm in Ontario bring the number of Canadian diagnose
87,1125,RT @dwnews: BREAKING: German airline Lufthansa has cancelled all flights to and from China due to the #coronavirus.  More to follow at http…,BREAKING: German airline Lufthansa has cancelled all flights to and from China due to the #coronavirus.  More to follow at http,BREAKING German airline Lufthansa have cancel all flight to and from China due to the coronavirus More to follow at http
88,874,"RT @NorbertElekes: BREAKING: Google recommends all of its 100,000+ North American employees to work from home due to coronavirus.","BREAKING: Google recommends all of its 100,000+ North American employees to work from home due to coronavirus",BREAKING Google recommends all of it North American employee to work from home due to coronavirus
89,534,RT @DanMannarino: #BREAKING: Gov. Cuomo declares a state of emergency as he announced the number of novel coronavirus cases in the state ri…,#BREAKING: Gov. Cuomo declares a state of emergency as he announced the number of novel coronavirus cases in the state ri,BREAKING Gov Cuomo declares state of emergency a he announce the number of novel coronavirus case in the state ri
90,229,RT @JackPosobiec: BREAKING: Sen. Hawley to introduce Coronavirus bill aimed at securing medical supply chain https://t.co/LkUohLdCyb,BREAKING: Sen. Hawley to introduce Coronavirus bill aimed at securing medical supply chain ,BREAKING Hawley to introduce Coronavirus bill aim at secure medical supply chain
91,304,RT @FoxNewsSunday: BREAKING: Health and Human Services Secretary Alex Azar tells @FoxNewsSunday Chris Wallace there is a new coronavirus ca…,BREAKING: Health and Human Services Secretary Alex Azar tells @FoxNewsSunday Chris Wallace there is a new coronavirus ca,BREAKING Health and Human Services Secretary Alex Azar tell FoxNewsSunday Chris Wallace there be new coronavirus ca
92,1323,"RT @TorontoStar: #BREAKING: Health officials have confirmed a third case of coronavirus in London, Ontario — a woman in her 20s who returne…","#BREAKING: Health officials have confirmed a third case of coronavirus in London, Ontario — a woman in her 20s who returne",BREAKING Health official have confirm third case of coronavirus in London Ontario woman in her 20 who returne
93,627,RT @CityNews: #BREAKING: Health officials in northern Ontario have confirmed the first case of the novel coronavirus in the Sudbury area. h…,#BREAKING: Health officials in northern Ontario have confirmed the first case of the novel coronavirus in the Sudbury area. h,BREAKING Health official in northern Ontario have confirm the first case of the novel coronavirus in the Sudbury area
95,360,RT @NatashaFatah: #BREAKING IRAN: Newly-Elected Female Politician Fatemeh Rahbar Dies of Coronavirus in Iran  https://t.co/D5HXkZUblX,#BREAKING IRAN: Newly-Elected Female Politician Fatemeh Rahbar Dies of Coronavirus in Iran  ,BREAKING IRAN NewlyElected Female Politician Fatemeh Rahbar Dies of Coronavirus in Iran
96,1074,"RT @BNONews: BREAKING: Japan reports 1st case of infection with new type of coronavirus, making it the 2nd case outside of China - Kyodo","BREAKING: Japan reports 1st case of infection with new type of coronavirus, making it the 2nd case outside of China - Kyodo",BREAKING Japan report 1st case of infection with new type of coronavirus make it the 2nd case outside of China Kyodo
97,863,"RT @BNODesk: BREAKING: Massachusetts reports 51 new cases of coronavirus, governor declares state of emergency https://t.co/eUoE2b20hL","BREAKING: Massachusetts reports 51 new cases of coronavirus, governor declares state of emergency ",BREAKING Massachusetts report 51 new case of coronavirus governor declares state of emergency
98,868,"RT @hockeynight: BREAKING | NBA suspends season after player tests positive for coronavirus

The NHL is expected to make a statement later…","BREAKING | NBA suspends season after player tests positive for coronavirus

The NHL is expected to make a statement later",BREAKING NBA suspends season after player test positive for coronavirus The NHL be expect to make statement later
100,1112,"RT @BNODesk: BREAKING: New coronavirus is now likely to become a pandemic, infectious disease experts say, adding that the mortality rate i…","BREAKING: New coronavirus is now likely to become a pandemic, infectious disease experts say, adding that the mortality rate i",BREAKING New coronavirus be now likely to become pandemic infectious disease expert say add that the mortality rate
101,266,"RT @680NEWS: #BREAKING: Ontario has confirmed three new positive cases of the coronavirus in the GTA, bringing the total number of cases to…","#BREAKING: Ontario has confirmed three new positive cases of the coronavirus in the GTA, bringing the total number of cases to",BREAKING Ontario have confirm three new positive case of the coronavirus in the GTA bring the total number of case to
102,29,RT @CP24: #BREAKING: Ontario health officials say first possible case of coronavirus confirmed in Toronto https://t.co/wHldrD6tGG,#BREAKING: Ontario health officials say first possible case of coronavirus confirmed in Toronto ,BREAKING Ontario health official say first possible case of coronavirus confirm in Toronto
103,654,RT @680NEWS: #BREAKING: Ontario's Chief Medical Officer of Health has confirmed two more positive cases of #coronavirus in the province - a…,#BREAKING: Ontario's Chief Medical Officer of Health has confirmed two more positive cases of #coronavirus in the province - a,BREAKING Ontario is Chief Medical Officer of Health have confirm two more positive case of coronavirus in the province
104,547,RT @CityNews: #BREAKING: Ontario's Chief Medical Officer of Health has confirmed two more positive cases of #coronavirus in the province -…,#BREAKING: Ontario's Chief Medical Officer of Health has confirmed two more positive cases of #coronavirus in the province,BREAKING Ontario is Chief Medical Officer of Health have confirm two more positive case of coronavirus in the province
105,231,RT @LauraMCarney: #BREAKING Ontario's Chief Medical Officer of Health says the husband of the province's fifth case of Coronavirus (COVID-1…,#BREAKING Ontario's Chief Medical Officer of Health says the husband of the province's fifth case of Coronavirus (COVID-1,BREAKING Ontario is Chief Medical Officer of Health say the husband of the province is fifth case of Coronavirus COVID1
106,1081,RT @CP24: #BREAKING: Ontario's Chief Medical Officer of Health says they have confirmed a second presumptive positive case of coronavirus i…,#BREAKING: Ontario's Chief Medical Officer of Health says they have confirmed a second presumptive positive case of coronavirus i,BREAKING Ontario is Chief Medical Officer of Health say they have confirm second presumptive positive case of coronavirus
107,165,RT @CityNews: #BREAKING: Ontario's chief medical officer of health has confirmed a new presumptive positive case of coronavirus in Toronto.…,#BREAKING: Ontario's chief medical officer of health has confirmed a new presumptive positive case of coronavirus in Toronto,BREAKING Ontario is chief medical officer of health have confirm new presumptive positive case of coronavirus in Toronto
108,586,"RT @NatashaFatah: #BREAKING Ontario now has 26 cases of coronavirus, the last few are in Toronto

The total number of cases in Canada is no…","#BREAKING Ontario now has 26 cases of coronavirus, the last few are in Toronto

The total number of cases in Canada is no",BREAKING Ontario now have 26 case of coronavirus the last few be in Toronto The total number of case in Canada be no
109,270,"RT @BNODesk: BREAKING: Oregon's first patient with coronavirus is believed to have been infected through local human-to-human transmission,…",BREAKING: Oregon's first patient with coronavirus is believed to have been infected through local human-to-human transmission,BREAKING Oregon is first patient with coronavirus be believe to have be infect through local humantohuman transmission
110,1118,"RT @AaronDodd: BREAKING: PM Scott Morrison has announced there's no need for Australia to take action against the #coronavirus. He said ""We…","BREAKING: PM Scott Morrison has announced there's no need for Australia to take action against the #coronavirus. He said ""We",BREAKING PM Scott Morrison have announce there is no need for Australia to take action against the coronavirus He say We
111,1276,RT @BillKingston: #BREAKING: Provincial health officials confirm 3rd case of novel #coronavirus in Ontario. Woman in her 20s arrived in Ont…,#BREAKING: Provincial health officials confirm 3rd case of novel #coronavirus in Ontario. Woman in her 20s arrived in Ont,BREAKING Provincial health official confirm 3rd case of novel coronavirus in Ontario Woman in her 20 arrive in Ont
112,475,RT @570NEWS: BREAKING: Region of Waterloo Public Health confirms first case of coronavirus. The illness was acquired after recent travel to…,BREAKING: Region of Waterloo Public Health confirms first case of coronavirus. The illness was acquired after recent travel to,BREAKING Region of Waterloo Public Health confirms first case of coronavirus The illness be acquire after recent travel to
113,561,"RT @K_B79: BREAKING ‼
Royal Bank of #Canada confirms employee has contracted #coronavirus 

In #Mississauga  40 kilometers west of the ban…","BREAKING ‼
Royal Bank of #Canada confirms employee has contracted #coronavirus 

In #Mississauga  40 kilometers west of the ban",BREAKING Royal Bank of Canada confirms employee have contract coronavirus In Mississauga 40 kilometer west of the ban
114,712,"RT @thomaskaine5: BREAKING :San Antonio declares health emergency, orders coronavirus evacuees to stay in quarantine https://t.co/laCUHooAYf","BREAKING :San Antonio declares health emergency, orders coronavirus evacuees to stay in quarantine ",BREAKING San Antonio declares health emergency order coronavirus evacuee to stay in quarantine
115,230,"RT @JackPosobiec: BREAKING: Saudi Arabia suspends entry for Muslim pilgrims to Mecca and Medina over coronavirus
https://t.co/JxeAABBlQB","BREAKING: Saudi Arabia suspends entry for Muslim pilgrims to Mecca and Medina over coronavirus
",BREAKING Saudi Arabia suspends entry for Muslim pilgrim to Mecca and Medina over coronavirus
116,285,"#BREAKING Saudi Arabia suspends entry for Umrah pilgrimage over coronavirus fears

https://t.co/YsAnx2sNgX https://t.co/f9yvs4rZfZ","#BREAKING Saudi Arabia suspends entry for Umrah pilgrimage over coronavirus fears

 ",BREAKING Saudi Arabia suspends entry for Umrah pilgrimage over coronavirus fear
117,232,"RT @BNODesk: BREAKING: South Korea reports 169 new cases of coronavirus, raising total to 1,146 https://t.co/eUoE2bjB9j","BREAKING: South Korea reports 169 new cases of coronavirus, raising total to 1,146 ",BREAKING South Korea report 169 new case of coronavirus raise total to
118,25,RT @680NEWS: #BREAKING: Sunnybrook hospital says they have discharged the first patient diagnosed with coronavirus from hospital. https://t…,#BREAKING: Sunnybrook hospital says they have discharged the first patient diagnosed with coronavirus from hospital. ,BREAKING Sunnybrook hospital say they have discharge the first patient diagnose with coronavirus from hospital
119,794,"RT @BNODesk: BREAKING: Tajikistan has informed airlines that it will deny entry to citizens of 35 countries due to coronavirus, including t…","BREAKING: Tajikistan has informed airlines that it will deny entry to citizens of 35 countries due to coronavirus, including t",BREAKING Tajikistan have inform airline that it will deny entry to citizen of 35 country due to coronavirus include
121,174,RT @Mirandanthistle: #BREAKING: The Ministry of Health confirms Ontario’s 4th case of the novel coronavirus has been tested &amp; confirmed to…,#BREAKING: The Ministry of Health confirms Ontario’s 4th case of the novel coronavirus has been tested &amp; confirmed to,BREAKING The Ministry of Health confirms Ontario 4th case of the novel coronavirus have be test amp confirm to
122,962,RT @CityNews: #BREAKING: The NBA is suspending its season after tonight's games until further notice because of the coronavirus concerns.,#BREAKING: The NBA is suspending its season after tonight's games until further notice because of the coronavirus concerns,BREAKING The NBA be suspend it season after tonight is game until far notice because of the coronavirus concern
123,867,RT @680NEWS: #BREAKING: The NBA is suspending its season after tonight's games until further notice because of the coronavirus concerns.,#BREAKING: The NBA is suspending its season after tonight's games until further notice because of the coronavirus concerns,BREAKING The NBA be suspend it season after tonight is game until far notice because of the coronavirus concern
124,844,RT @570NEWS: BREAKING: The NBA is suspending its season after tonight's games until further notice because of the coronavirus concerns.,BREAKING: The NBA is suspending its season after tonight's games until further notice because of the coronavirus concerns,BREAKING The NBA be suspend it season after tonight is game until far notice because of the coronavirus concern
125,955,"RT @hockeynight: BREAKING | The @NHL has suspended the regular season due to the coronavirus pandemic.

More to come. https://t.co/0UuKuyIY…","BREAKING | The @NHL has suspended the regular season due to the coronavirus pandemic.

More to come. ",BREAKING The NHL have suspend the regular season due to the coronavirus pandemic More to come
126,1330,"RT @CityNews: #BREAKING: The Philippines has reported the first death related to the coronavirus outside of China, a 44-year-old Chinese ma…","#BREAKING: The Philippines has reported the first death related to the coronavirus outside of China, a 44-year-old Chinese ma",BREAKING The Philippines have report the first death related to the coronavirus outside of China 44yearold Chinese ma
127,455,RT @business: BREAKING: The Trump administration won’t be able to meet its promised timeline of having a million coronavirus tests availabl…,BREAKING: The Trump administration won’t be able to meet its promised timeline of having a million coronavirus tests availabl,BREAKING The Trump administration won be able to meet it promise timeline of have million coronavirus test availabl
128,1267,"RT @globalnews: #BREAKING: The United States has confirmed its first case of human-to-human coronavirus transmission Thursday.

https://t.c…","#BREAKING: The United States has confirmed its first case of human-to-human coronavirus transmission Thursday.

",BREAKING The United States have confirm it first case of humantohuman coronavirus transmission Thursday
